,theme_id,theme_name,parent_id,set_name,year,num_parts
9207,672,Creator 3-in-1,22.0,Mini Helicopter,2010,52
9208,497,Books,,Atlantis: The Quest For The Lost City - Activity Book,2010,4
9209,7,Construction,5.0,Mobile Crane,2010,1289
9210,7,Construction,5.0,Container Truck,2010,686
9211,7,Construction,5.0,Compact Excavator,2010,252
9212,7,Construction,5.0,Mini Telehandler,2010,117
9213,7,Construction,5.0,Motorized Excavator,2010,1127
9214,672,Creator 3-in-1,22.0,Mini Dumper,2010,60
9215,501,Gear,,City Police Handcuffs,2010,0
9216,141,Space Police III,126.0,Raid VPR,2010,69
9217,141,Space Police III,126.0,SP Undercover Cruiser,2010,317
9218,275,Toy Story,,Woody and Buzz to the Rescue,2010,92
9219,315,Atlantis,,Mini Sub,2010,37
9220,275,Toy Story,,Buzz's Mini Ship,2010,27
9221,6,Airport,5.0,Helicopter,2010,152
9222,315,Atlantis,,Atlantis 4 in 1 Super Pack,2010,0
9223,246,Harry Potter,,Freeing Dobby,2010,73
9224,246,Harry Potter,,Quidditch Match,2010,153
9225,246,Harry Potter,,Hagrid's Hut,2010,443
9226,153,Pirates II,147.0,Imperial Flagship,2010,1668
9227,501,Gear,,Play and Build Remote for Nintendo Wii - Red,2010,0
9228,61,Police,52.0,City Super Pack 4 in 1 (7235 7236 7245 7741),2010,0
9229,501,Gear,,Play and Build Remote for Nintendo Wii - Orange,2010,23
9230,501,Gear,,Play and Build Remote for Nintendo Wii - Blue,2010,25
9231,246,Harry Potter,,The Burrow,2010,573
9232,246,Harry Potter,,Hogwarts Express,2010,647
9233,315,Atlantis,,Piranha,2010,45
9234,275,Toy Story,,Construct-a-Zurg,2010,118
9235,315,Atlantis,,Octopus,2010,42
9236,275,Toy Story,,Construct-a-Buzz,2010,211
9237,141,Space Police III,126.0,Lunar Limo,2010,391
9238,141,Space Police III,126.0,Space Police Central,2010,631
9239,536,Series 1 Minifigures,535.0,Series 1 - Random Bag,2010,0
9240,315,Atlantis,,Mini Neptune Carrier,2010,63
9241,507,Educational and Dacta,,Connections Kit,2010,2045
