,root_theme_name,year,num_set_per_year
754,Duplo,2000,44
755,Technic,2000,53
756,LEGO Brand Store,2000,1
757,Train,1999,8
758,Seasonal,1999,3
759,Space,1999,11
760,System,1999,9
761,Technic,1999,33
762,Scala,1999,15
763,Value Packs,1999,1
764,Town,1999,56
765,Service Packs,1999,20
766,Star Wars,1999,13
767,Universal Building Set,1999,28
768,Mindstorms,1999,9
769,Znap,1999,7
770,Aquazone,1999,1
771,Educational and Dacta,1999,37
772,Ninja,1999,16
773,Books,1999,1
774,Gear,1999,7
775,Primo,1999,3
776,Belville,1999,10
777,Adventurers,1999,14
778,Rock Raiders,1999,8
779,Model Team,1999,2
780,Duplo,1999,36
781,Service Packs,1998,17
782,Space,1998,15
783,Educational and Dacta,1998,37
784,Mindstorms,1998,4
785,Sports,1998,23
786,Gear,1998,7
787,Model Team,1998,1
788,Freestyle,1998,18
789,Castle,1998,12
790,Duplo,1998,45
791,Technic,1998,29
792,Town,1998,49
793,Books,1998,1
794,Train,1998,2
795,Universal Building Set,1998,36
796,Belville,1998,7
797,Aquazone,1998,11
798,Adventurers,1998,21
799,Znap,1998,12
800,Ninja,1998,11
801,Scala,1998,24
802,Racers,1998,2
803,Primo,1998,2
804,Promotional,1998,1
805,Seasonal,1998,2
806,Seasonal,1997,5
807,LEGO Brand Store,1997,1
808,Service Packs,1997,22
809,Scala,1997,10
810,Gear,1997,8
811,Train,1997,1
812,Duplo,1997,33
813,Freestyle,1997,11
814,Technic,1997,14
815,Castle,1997,10
816,Belville,1997,6
817,Universal Building Set,1997,20
818,Books,1997,1
819,Western,1997,11
820,Model Team,1997,2
821,Educational and Dacta,1997,33
822,Pirates,1997,4
823,Town,1997,49
824,Space,1997,19
825,Aquazone,1997,3
826,Time Cruisers,1997,4
827,Pirates,1996,8
828,Technic,1996,10
829,Castle,1996,6
830,Train,1996,4
831,Town,1996,23
832,Space,1996,11
833,Boat,1996,3
834,Universal Building Set,1996,34
835,Mindstorms,1996,2
836,Time Cruisers,1996,5
837,Gear,1996,1
838,Duplo,1996,31
839,Service Packs,1996,22
840,Belville,1996,5
841,Freestyle,1996,7
842,Model Team,1996,1
843,Western,1996,7
844,Educational and Dacta,1996,12
845,Aquazone,1996,7
846,Educational and Dacta,1995,31
847,Bulk Bricks,1995,1
848,Model Team,1995,1
849,Space,1995,7
850,Town,1995,22
851,Freestyle,1995,28
852,Aquazone,1995,6
853,Duplo,1995,32
854,Castle,1995,7
855,Belville,1995,3
856,Primo,1995,1
857,Seasonal,1995,1
858,Train,1995,2
859,Technic,1995,9
860,Service Packs,1995,15
861,Universal Building Set,1995,10
862,Pirates,1995,4
863,Castle,1994,4
864,Educational and Dacta,1994,29
865,Gear,1994,1
